Ref,Val,Package,PosX,PosY,Rot,Side
Co25,10uF,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,195,-97,90,bottom
Co26,10uF,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,195,-105,90,bottom
Co27,10uF,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,195,-112.975,90,bottom
Co28,10uF,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,195,-121,90,bottom
Co29,10uF,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,195,-128.975,90,bottom
Co30,10uF,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,195,-63.975,90,bottom
Co31,10uF,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,195,-72,90,bottom
Dsafe1,D,D_SMA,170.15,-117.15,0,bottom
F1,Fuse,C_1206_3216Metric_Pad1.42x1.75mm_HandSolder,164,-118.0875,90,bottom
